Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Mountain Climbers,"Body Weight,Bosu Ball",Cardio,"Core,Full Body",,"mountain-climbers-gif-3.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Ib46QdgzAJScB8yBzD-Y3Q/-ma0JC7tw3_cfYdsEzcpBFJpYICqkyvkvfvy6Ho7bWWMZI6ZObFAt2SmiLZWxn3lUNDAGqQvRElbzt5x63kFCkR8D8HWq2oSexJwXvVFoaB0G_7uMiVXsvxt7XYHe3FJ/2YNweLErC28wRM9zwxggh08SLHD5XpXAnnxbXyAAXdc),BOSU_Mountain_Climbers.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/XGQZVQ0AZFBPbYbUqQqjOQ/s6rg4EFL31V-z9Opd22nVcpD-9fFUanx4Rb562Ywmd9JrRYLdr5QMhx1B5Lr4GFsOXB6HVDEvG4IRqFHY1QMqqZ7dY_Y7mmQCV1eUmpPq90cxl3LQbUda0NixV675WrQ/iE8r41nBAE86wSNFjh0Un4sn3RxmalO_VIbVVUIPev0)",,"Easier: Step in, instead of running your knees"
Plank,Body Weight,Weight,"Full Body,Core",Chest,plank.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/_xCmb0RxB3Hg28HimWbTng/TJPwbFcfro9LKdptpirOs6Bt8nXJGxdPx-h1fNqRweZKn8sxUN_di-O3KXo--zeD5Q9VTUUAqVHlNS1nM74VvdK6ws2sg4fAWiwl3ljxN84/5Wt4ZaYa7e2kcFtAA6UdMCf66xb7uGFspyghuPswIHc),,Easier: Go from your knees
Plank Jack,"Band,Body Weight",Cardio,"Full Body,Core",,3705bd36-6b31-42df-9dd1-8d4984b797dc.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Et5kFYPa5xqVv9cP3AZkUA/wGTWbyzgBfXNN7_WCpnzsiKtA5i19M1f3j4x75d6VuHAvsU4WdvxkxwTHxCRa-V31tUVzxl6EW_3FzBmoLaH539UHx-PXA_fVzvf5zIAo66QQNyvYDM4tWSZTcFZjz2S_ssKuVbP1rqIF-9njSYahA/FYLO97ZNAUT-25wLDrgkIX6TOz3hOSaSc8sWOPlcGVo),,"Easier: Step out, instead of jumping your knees"
Plank Row,Dumbbells,Weight,"Full Body,Back",,3d9683d8b8f09bb0863726633ae69910.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/GiDGtjO34gjApghAAfq7QQ/Dd716skeCPw8eU6Ht80rZqPfkgAnn6WQWdasHm03wtotfANDbKFdwktsCR7L1I2iOggd-D7MoE6mgZdtHHfFO1MCpJAh6kXq8T66Nz8Qgz7-w_EDxGt8zkGu-3I6ecYK/R3T3NTUWSAFMQeQYkALcNVtGGS5R7KvgxUvQmn4C_tc),,
Pushup,Body Weight,Weight,Arms,Chest,GlossySkinnyDuckbillcat-max-1mb.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/2imr2iAqxq02WY5oOoyvBw/5G4yIGVrJC8Lf6YkEcsJMBdZqYg0nH2PJhCBS9SIohovMdP6TuTOpaIzgd4mGnYHBfHbCMmafA7dUDnlAT9fTEHZ1DregodKy08ka0AocybD8F9SJ6sTPELt9Xa66yff/jDDbu37ZcWm0xkcAIMYPqr3DYbQIr6z3thMIoyJsqrg),"Can be done from knees, or legs. Arms parallel to your body like the dude in the gif.","Easier: Go from your knees, or standing against the wall"
Pushup Walk,Band,Weight,Arms,Chest,094028d3-bc38-481b-85c1-5c8dad17f12b.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/aYI9OAB_cv_4HwZNEQuFdA/M7jVE9hMs538XyWZxD9Eav5fidqOud22fsWqd4fqtwKv9RI19WU-0ro0Y7HSEeTSOA34GVkIMBDgHbZrHyuInqm_CSxH9Tf3Aiqa1aYOg4h8NZU0niGCkaM4LICmjonE6QtNwIQ-ZXUAIuH4Ij2GgA/img_4uma_bjBBh77S7CB_wdMUDxXiJZGbC4KgBNNiWw),,
Reverse Crunches,Body Weight,Weight,Core,,reverse.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/hLmKVcS02JcStsIExfwEzw/nOSdS8Atk34fQGoylLLxhRHEgz2FZw8shSX--uVSumcDZqZREJaGHitrOVUuWPyRiLNUx-vIWj6-8Lx1gT9gq__Vq0LYZIkvyiD2KvNl26w/Sx5WPLkbFGqLfUE269KIeqbjxKWNGdE1yf0NE0Ox2rk),,
Row,"Bar,Dumbbells,Landmine",Weight,Back,,78eb6279-95b9-4269-a337-c2c0ca3b78d3.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/ql2UNwBBdM7rqTYnTCKpzw/WsdRA2t3NFf6MNgka8KaGW2tY7RzWYFKSwiv9MnFCU3e9Fu_EZII_VR5oiBGuGfs_tn80oua6D9v_zfaGum2hzutadFx-MjukOtrSDRthG2u4AKYeGhT3f995Rxbmc8jn80R3DKX4xscVG5Lfg6-PA/hea41G-dJ7x_f5NEcSc6SMVgo61dku60UJ37q_3tzIk),Bar + 15LB,
Russian Twist,"Kettlebells,Dumbbells",Weight,Core,,26c0501d-0254-4bc7-9b79-47b004393d4d.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/q2KiquR_FMI1Rns-7dLNTw/6SGLr_DaLyEORA1Mvpy-019-5IehF2PQ_9ZYTFW7B7Nx-g92ThJ5knPrnBslKJ1-k00Urm_xaANWgNB8Q5rvM3PK0uR3uS68a1hegZJC2zKUpUhWGLrSlqUUSvlO20MEsoSqVND8lVAj793BSRcr7A/qxY42Fwxl5gnisQjbGErYB8OVWiDvtuwYyr-mKCxrq4),,
Seal Jacks,Body Weight,Cardio,Full Body,,Seal-Jacks.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/uI3r2o8Bde_qJSHEDmLGbQ/KxkjPQJXexOTEAl_-uUsIxwe47fvthY-ImdFCvNzXFy1_iYoctEAxBzp41wH8um2KCW33lkZ2V5ViCFdqQjmO31_PhhtuCcMFD4TD01D-UU/jseKA498YDDnqEzFE2FozoivOGl9JVCb94SG0GFw76k),Clap your hands and dance around while you do these. Makes life more fun.,
Shoulder Press,"Bar,Dumbbells",Weight,Arms,Shoulders,03478637-60f5-49f1-95b3-593fead73610.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/yh3v4J1NPqm5IY9cZlb88w/6DVgugnlM7vEnhon_SoYM5Da3_vRG4hRC_m1RsUKHpo5nquafl4DXmIEwr0sqUHa9oJMvWYFSp9T23IOF1BHXwNnfqgHvvMXnx0V-c6dpuohYGKptMpKM4hld3RKv9yxHtNfVw9_PnjK8X0ym1J3ig/5oEgg9E9CbIqL9xI7CBVZKtEsABffiBkDIrk4KTmBg4),Bar + 5LB,
Side Arm / Lateral Raise,Dumbbells,Weight,Arms,Lats,12abf096-2edb-4062-8468-17e2951c14fe.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Vvc94FIT-P4ohoGSN0pQ4g/gbUz0JMsvHU7fM6Ey3qJJ-UI0OMD8AVgvPmhtcp__nyQzsq93vlJIVzAD1hRf5DMdRLuSvj_iS9lB8ggkuOsEzPmIy5jfkd2IJbIe3XSPqvwyRIAtLIbKmNYFujklYHoOyfMl7vwHgrrp_ApXbuB5g/THxn-xjX0fnRRuoLDSDFE31xC8Q9v2WwP4H3PKkaS80),,
