Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Step Up Lunges,"Platform,Dumbbells",Plyo,Legs,Glutes,dumbbell-step-up.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/8oxfvCAlbHaLZVBHqio2Aw/aRuwoipW4y9456EAPEVzuMtlMYK4ARDSvmpdZe3WROv3PW1-RjByNKTvvKw-GOIqWc_mVTDQwKpUxpwaeJypq7H69moMyQU0pqDVzw87sbM/nodeJAgr5BZbBvblzAbjZPFk-fXNxPDxr7oMLSDVRHA),,"Easier: Don't hold weights
Harder: Add a burpee, you can always add a burpee"
Step-Back Lunge,"Bar,Body Weight,Dumbbells,Squat Rack",Weight,Legs,Glutes,bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/fQ16-PR5_2UEOJdJc5qVWQ/nwTv7Q_qiGCNOsvCk6EQnYSU8KfTEq8FklevNp93XXs32wY7g4rlilc_Du7E7D_AwmwPNKFail0dAlQmeJ4Kw1PC9pcnMvdNnDW8Tyvwqlhi3fIYV09wEdwP21XYJZI9oAiaoN3MBKz1P-Uygv-Ie0FWnDw6k0RVDMM1jhsOH82QN3-wbQoJbOOqXQoAlpcO/ZqeBddNswKcKQGYj1YdSBOH7hy2EoixBLhy-Vam4_o4),,
Straightup Situp,Dumbbells,Weight,Core,,30-best-ab-exercises-straight-leg-barbell-situp.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/fCMvdv4w27X6WhPMJAC6pA/VxMLxbZUCT5-p5P2QKwnF_iErs8wDvAlugzFz74lk-UXPkIEsL-quv0RHLW0n1TtBQZFaWb7mFdcwhQkfvd859O1-XEfWMsOyX_rwsmLB0IkLKOZJWEXZ08pK0eKYWRq-0o1ODpfNaryN5h4DGD7Nw/YWlJw1pn_QseGRwQNa4jQgMSffZX5lxkTZ5iqdWIeqI),,
Sumo Squat,"Bar,Dumbbells,Body Weight",Weight,Legs,"Inner Thigh,Outer Thigh",a7a48b0ff2d2b6b10e086290b1fede92.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/c1vLE-Q-ZE9JgyQHYLzx_g/6wCUUEv15yY58BqJTIkXEOwCLa2Ext-G803aB31PoBI8tMs0WdH7kbEo1I99tWyS0QbaLl5FBZ_ZYpLxc9qabLrLGaJYn0Uc8Rev9SFQITCXfBOTX7eJN7jzRf_nqLvv/PJGBIaWVOeApYnwwHfXHivRWhMymuynEmxB5lpOvf9Q),Bar + 35LB. You want your legs to be just wide enough that your knees still track over your toes,
Superman,Body Weight,Weight,Back,,13a573f1_Superman.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/CIXUU4f8eHz_2SK8tA67Ug/YivCYQMW1GHPNE8zaOpFcja19FtIytg61hkp8DGSOjAokJXq7m81mzFA9okT88ll4Ne-nQhsiKR4PCv9-N9tLx-vWKV_yy7imHk5m_E9Yw4/MN6Q8zyfLQAiTqvhKPHskNWV0xInuntio1EqsrVkOHE),,"Easier: alternate lifting. Lift your arms from the ground first, then your legs from the ground."
Touchdown,Body Weight,Plyo,Full Body,,WtFJBce.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/_JV4cEeE3NKCPWFu4KO8Fg/gts5BQWeBxfy01_B4q9hbu2qwLrCp2-RJ9BW_puM35iAQpQaRZs5-nE5Au84BT9cDfebPDiecDtUB6Xsbs04ho7rXZovLOKxbBuW0YGd_tM/3pbaW808rSR9_Q2cj4Bdc1D3R8IJjn8AVcSXhZZv--o),,
Tricep Dip,Body Weight,Weight,Arms,Tricep,Tricep-Dip-on-Bench-g.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/nSGjGoqCNvuDggY5n4yWWg/lWgNcrrZ5m2cdX5nLGlRgVfgYhsMondMwsEdkIIelRvOOaaFqnzTVux7ZLqAInvZV1OhYPhVXKu0j2X631Kv6EKM9ISLLm6n28xYwe7ggGHwnRHlXRx0k7Ytv0R-accW/kin7GIQP_CxH3GWBy2rZd5GTTbN8xVKK-Rmn__Hw6hQ),Find a chair or platform you can lean on.,"Easier: Legs bent closer to body
Harder: Legs straight farther from body"
Tricep Kick-Back,Dumbbells,Weight,Arms,Tricep,Triceps-Kickback.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/8LmTtoVnj8WZ-C4ZTzTyuA/nKAo9ootZ3hxTweJ1jA7dTKXJ-oGo3R6MDGFTg58ORSG748toBqdKrcq36jvXQmPaxvkPY47MALnAYRQdr5BTyr4twlXv95QhxrG_qxOeso/q_dmQj10Yss2Ldk7EI_QpgGbMZF2uhHLSDfJ9HAjmsA),,
Tricep Overhead Press,Dumbbells,Weight,Arms,Tricep,5.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/1U-DN7YOTMj0cn-0w66azA/Kbwb6Y5wux1Qm07uwG2kjvgLNVzBfB1S4GGm1L3oKNVi-b_oOuKuZUG5A0m6-GwF7IgAlDBLF5Hntb4C_A-3uQ/GJuR5JMSqtRASFkPjyVrE-QIKygAvIWkmmcRuYJUHcg),,
Tuck Jump,Body Weight,Plyo,Full Body,,Tuck-Jumps.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Uv1-REC4_5GYev_nF1_Cfg/q2JV7N0VUvQUfhKXZ7sU_OrSWFdYKBn4i_U_PLN4XIe6U_VCjXOEXCT9irQAgkSvqZtGRcWaaGnaEpMSoZdYQ0wKRpwRtOn0rw3zlpmxyHs/uAZ8jnCi9PbPAqzIFBBGamP4_naBjRPRaMWQHp6J0xE),,
Twisted Mountain Climbers,"Body Weight,Bosu Ball",Cardio,"Full Body,Core",Oblique,mountain-climbers-gif-3.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/O36KcYqJUTTZKSOwVoZFOA/sL93_qhlUB_jInxmUX0SYnTfs0ffQJYCNmNxJQ6kC_me_RuR4dPwMqtyTYvy91fzO41Ai5cnsKXi2HuLwfQlykRw2S_iaOP6VKsCu6YUTDyPOgtQyZu5EPvpv2xpVhQP/akW5RRLl8ZJqYBmKi1v2htyGyZZTofhiD-LEw3JODCo),,
Wall Ball,Medicine Ball,Cardio,Full Body,,WallBallToss.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/pMX8ABbQAY6UeX4AuVRtmA/3VnZGzCZv9Jnmts2qWLO6Gwpla-7j2s9IHjIKQRUSMJYDcqupMxeXNsQlBbMCEfObQM_hjlMhZAXQ9LwhCakJF-ibZgXbcQEilPL-5baEJY/f0eMkiCg0z3u1wJma-qVmd5-81u76Afm-RIRHwJosIU),"Toss the Medicine Ball in the air, or against a solid wall (concrete or brick) if available.","Easier: use a non-weighted football, basketball etc."
Weighted Jumping Jacks,Dumbbells,Cardio,Full Body,,eec0a59a6eacdc9cfd19a13290516684.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/JCScAZxv5phgpzOP-WGxoA/lEpjsAlcwh9fWhANyUn7GBpFNHBsDKvaSJWiLcu5Idj0ykxK1qEXcW59jNy7nLmg-DjJX7VqCIFwaAc6INEX3xUgQM6_Sfo_08CgtYA_8O1TPp24OEJNG97C2WttrLl7/_HmPRjID4bjpZOYD5kOxunGnXAkwDgmAC0_pMxzwr_Y),,Easier: Step out instead of jumping
Weighted Punches,Dumbbells,Cardio,Core,,cross-punch-exercise-illustration.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/JO8oJlNEPHI-FCikDdCn_A/PFb_o6_p_R-6LDL4Y_H5FOLuPXU2OypBY2zNYr3j0tcqRvZ50yDBv6f084yweAedDrSdR5wT6peHDQ-qrCFCyCHuEyw_mR3otLXRxg9_BkPKitPV4LG8kqcV_Oe01L-8/w6peFwOAnVmCE-JZx80Q2b5SwxPr1vm1nNrhTyp31ew),,Easier: Punch without weights
Deadbug,Body Weight,Weight,Core,,exAX6p.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/0kGcaKDNpvgh5K2xDPu-PA/yub2qnb2Ps9IpLPqr9hOKSLHLF3hY2CTsJEAd5ZjaNQ0mExBMUxUv7GNtYtJNxuJTGKxbQYOp1pwQFjbeiHaKov-PcJM3cjNaS67m-SlF5A/hQe56f5fC2s3CE7dlBbyST3cQ8EoCxMELeXJoPQPrzI),Really good if you have lower back pain and want to do an ab workout,
